ubuntu@ip-10-0-29-234:~$ sudo tcpdump -nn -i any 'udp and portrange 10000-10004'
tcpdump: data link type LINUX_SLL2
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on any, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144 bytes
08:27:32.961349 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:32.982030 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.005343 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.021907 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.041878 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.061932 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.080831 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.100866 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.121854 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.141845 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.161857 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.209377 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.219346 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.229246 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.242863 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.260356 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.283844 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.301848 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.320352 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.345588 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.365441 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.383397 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.400862 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.422907 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.441423 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.460864 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.481363 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.504358 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.520870 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.540366 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.561860 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.580854 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.602856 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.621879 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.640481 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:33.662017 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
